Labor Force Total,In Labor Force,Unemployed,Management/Business/Science/Arts,Service Occupations,Sales and Office,Natural Resources/Construction/Maintenance,Production/Transportation/Material Moving,County,state,county
138209,86730,4323,42440,2559,155,2468,39858,"Alamance County, North Carolina",37,001
30289,17589,982,9066,480,27,238,7541,"Alexander County, North Carolina",37,003
9404,4643,247,2292,194,17,50,2104,"Alleghany County, North Carolina",37,005
18395,9350,599,4594,198,11,225,4137,"Anson County, North Carolina",37,007
22892,12365,629,6249,506,39,241,5461,"Ashe County, North Carolina",37,009
15564,7051,353,3562,214,0,243,3136,"Avery County, North Carolina",37,011
37008,20479,1146,10149,631,56,370,9170,"Beaufort County, North Carolina",37,013
15192,6739,431,3000,73,9,243,3308,"Bertie County, North Carolina",37,015
24339,11614,635,5761,202,22,198,5188,"Bladen County, North Carolina",37,017
121872,59583,2969,29160,1533,222,1258,27303,"Brunswick County, North Carolina",37,019
226493,137078,4984,67608,5756,532,2906,64275,"Buncombe County, North Carolina",37,021
73800,42104,2520,21225,919,250,827,18314,"Burke County, North Carolina",37,023
176491,119680,5832,60095,3703,238,3451,53484,"Cabarrus County, North Carolina",37,025
66660,38701,2235,19198,906,77,811,17237,"Caldwell County, North Carolina",37,027
8221,5166,291,2374,43,0,66,2419,"Camden County, North Carolina",37,029
58242,32242,1537,15501,1073,49,492,14528,"Carteret County, North Carolina",37,031
19196,10202,605,5095,282,51,159,4461,"Caswell County, North Carolina",37,033
130560,80055,4113,41313,2405,149,2452,34582,"Catawba County, North Carolina",37,035
63808,36508,1005,18586,1595,37,1047,16872,"Chatham County, North Carolina",37,037
24817,12014,590,5898,273,29,289,5493,"Cherokee County, North Carolina",37,039
11453,6203,267,3096,258,0,110,2826,"Chowan County, North Carolina",37,041
9735,4567,181,2329,182,0,80,2057,"Clay County, North Carolina",37,043
80115,46393,2970,22406,1431,132,697,20888,"Cleveland County, North Carolina",37,045
41727,20068,1158,9417,536,176,220,9455,"Columbus County, North Carolina",37,047
81310,47537,2153,20216,1038,83,999,19942,"Craven County, North Carolina",37,049
260162,167597,10785,58549,4251,351,3032,66625,"Cumberland County, North Carolina",37,051
22897,14951,465,7590,474,0,258,6533,"Currituck County, North Carolina",37,053
31103,20232,1024,9649,627,13,353,9392,"Dare County, North Carolina",37,055
137498,80744,3486,41919,2137,330,1844,35187,"Davidson County, North Carolina",37,057
35367,20828,946,10370,538,12,473,9430,"Davie County, North Carolina",37,059
39054,22986,1246,12038,374,43,224,9641,"Duplin County, North Carolina",37,061
266342,179743,7670,83332,8636,775,4224,88327,"Durham County, North Carolina",37,063
39414,22305,1922,9465,427,251,628,10901,"Edgecombe County, North Carolina",37,065
307220,189556,10536,90460,7016,629,5808,87800,"Forsyth County, North Carolina",37,067
56285,34804,2046,17649,917,132,768,15076,"Franklin County, North Carolina",37,069
184081,115129,5678,56933,2177,354,2711,52200,"Gaston County, North Carolina",37,071
8595,5030,466,2204,19,8,75,2356,"Gates County, North Carolina",37,073
6671,3434,263,1700,182,22,45,1471,"Graham County, North Carolina",37,075
50547,28330,1314,13479,561,119,579,13435,"Granville County, North Carolina",37,077
16943,8574,470,4564,176,25,136,3525,"Greene County, North Carolina",37,079
434425,278662,14457,132614,9276,502,8600,130970,"Guilford County, North Carolina",37,081
39802,20189,1872,9457,650,0,440,8839,"Halifax County, North Carolina",37,083
103882,61936,3002,28372,1847,116,1275,25785,"Harnett County, North Carolina",37,085
52396,29094,1023,14197,713,207,779,13813,"Haywood County, North Carolina",37,087
97554,56577,1994,28357,1731,192,1371,26197,"Henderson County, North Carolina",37,089
18212,9385,670,4394,367,6,175,4249,"Hertford County, North Carolina",37,091
39673,23128,1304,9066,544,7,570,10122,"Hoke County, North Carolina",37,093
3800,1545,135,730,2,0,2,680,"Hyde County, North Carolina",37,095
150816,97858,4521,50728,2085,263,2530,42555,"Iredell County, North Carolina",37,097
36300,20401,1210,9745,902,124,462,9390,"Jackson County, North Carolina",37,099
170673,112595,4189,57731,2832,620,2038,50447,"Johnston County, North Carolina",37,101
7784,4063,193,2006,126,6,82,1852,"Jones County, North Carolina",37,103
50259,30414,1559,15348,551,71,657,13222,"Lee County, North Carolina",37,105
44293,24548,1747,11643,360,147,347,11058,"Lenoir County, North Carolina",37,107
72027,44738,1961,23377,964,97,1417,19333,"Lincoln County, North Carolina",37,109
36939,19890,1097,9714,207,133,423,9079,"McDowell County, North Carolina",37,111
31327,16290,563,8522,570,44,254,7194,"Macon County, North Carolina",37,113
18215,9913,170,5280,281,35,92,4435,"Madison County, North Carolina",37,115
18014,10054,970,4332,122,66,127,4752,"Martin County, North Carolina",37,117
887003,633754,28592,312161,21290,1610,18042,291625,"Mecklenburg County, North Carolina",37,119
12658,6981,443,3444,191,176,97,3094,"Mitchell County, North Carolina",37,121
20983,11336,350,5372,391,9,92,5575,"Montgomery County, North Carolina",37,123
81483,47203,1990,21078,1832,116,1059,20451,"Moore County, North Carolina",37,125
76813,46199,2972,22094,1114,128,1196,21079,"Nash County, North Carolina",37,127
191340,123534,5845,58790,4314,338,2323,58221,"New Hanover County, North Carolina",37,129
14806,7417,565,3174,130,8,134,3678,"Northampton County, North Carolina",37,131
158795,111099,4665,34570,2759,207,1727,33381,"Onslow County, North Carolina",37,133
121673,75266,2934,35985,6280,280,1601,36318,"Orange County, North Carolina",37,135
10859,4716,219,2211,48,21,38,2283,"Pamlico County, North Carolina",37,137
32537,19610,1093,9238,542,63,649,8579,"Pasquotank County, North Carolina",37,139
49752,30093,1904,14630,661,81,626,13107,"Pender County, North Carolina",37,141
10944,5398,272,2859,131,43,137,2261,"Perquimans County, North Carolina",37,143
32143,19475,727,9560,435,31,406,9175,"Person County, North Carolina",37,145
139169,87968,6537,41122,3360,374,2195,39731,"Pitt County, North Carolina",37,147
16797,8943,381,4453,210,46,324,4100,"Polk County, North Carolina",37,149
116463,70023,2743,36255,1609,129,1889,30962,"Randolph County, North Carolina",37,151
34394,19928,1901,9160,729,158,483,8702,"Richmond County, North Carolina",37,153
91655,46705,2959,21886,776,294,934,21732,"Robeson County, North Carolina",37,155
75402,42188,2733,20508,854,122,511,18910,"Rockingham County, North Carolina",37,157
118203,71289,4483,36092,1784,410,1205,30650,"Rowan County, North Carolina",37,159
53299,28408,1700,14084,854,107,761,12624,"Rutherford County, North Carolina",37,161
46668,26455,1509,13706,429,89,426,11093,"Sampson County, North Carolina",37,163
27120,14203,1528,6542,280,100,168,6131,"Scotland County, North Carolina",37,165
